Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748625303,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1748625304,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1748625305,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1748625306,15,,Aggregated,0.000000,0.000000,2100,2100,2400,2400,2400,2400,2400,2400,2400,2400,2400,4,4,1822.1010830020532,2042.6514480059268,1822.1010830020532,2437.374417029787,233.0
1748625307,20,,Aggregated,0.000000,0.000000,1800,2100,2400,2400,3500,3500,3500,3500,3500,3500,3500,7,7,1800.0,2006.488529865497,1185.6024580192752,3485.841584042646,217.14285714285714
1748625308,25,,Aggregated,0.333333,0.333333,2300,2400,2700,3400,3500,3500,3500,3500,3500,3500,3500,10,10,2100.0,2246.4480585127603,1185.6024580192752,3485.841584042646,221.9
1748625309,30,,Aggregated,1.250000,1.250000,2600,3400,3700,3700,4800,5300,5300,5300,5300,5300,5300,16,16,2400.0,2769.8032995685935,1185.6024580192752,5311.9247909635305,226.0625
1748625310,35,,Aggregated,1.400000,1.400000,2400,3300,3500,3700,3900,4800,5300,5300,5300,5300,5300,23,23,2400.0,2559.9037663499907,233.35591598879546,5311.9247909635305,228.17391304347825
1748625311,40,,Aggregated,1.666667,1.666667,2300,2700,3400,3700,4800,5300,7000,7000,7000,7000,7000,29,29,2300.0,2600.64359341451,233.35591598879546,7040.324207977392,229.17241379310346
1748625312,45,,Aggregated,2.285714,2.285714,2400,3300,3700,3900,4900,5300,7000,7000,7000,7000,7000,35,35,2400.0,2720.2432071440853,233.35591598879546,7040.324207977392,229.82857142857142
1748625313,50,,Aggregated,3.125000,3.125000,2700,3500,3800,4300,5000,5300,7000,7000,7000,7000,7000,46,46,2600.0,2923.152709217823,233.35591598879546,7040.324207977392,230.58695652173913
1748625314,50,,Aggregated,3.444444,3.444444,2700,3500,3900,4700,5100,6300,7000,9300,9300,9300,9300,51,51,2700.0,3031.5945179591995,233.35591598879546,9296.780416974798,230.8235294117647
1748625315,50,,Aggregated,3.700000,3.700000,2700,3500,4100,4300,5000,5700,7000,9300,9300,9300,9300,63,63,2700.0,3028.5190641722966,233.35591598879546,9296.780416974798,229.47619047619048
1748625316,50,,Aggregated,4.700000,4.700000,2800,3500,4200,4500,5000,6300,8600,9300,9300,9300,9300,71,71,2800.0,3089.7890651675634,233.35591598879546,9296.780416974798,229.8732394366197
1748625317,50,,Aggregated,5.600000,5.600000,2800,3700,4300,4800,5700,6300,8600,9300,9300,9300,9300,79,79,2800.0,3129.973820706128,233.35591598879546,9296.780416974798,230.18987341772151
1748625318,50,,Aggregated,6.600000,6.600000,2800,3700,4500,4800,5700,6900,9300,10000,10000,10000,10000,84,84,2800.0,3216.9524286159904,233.35591598879546,10216.549624979962,230.35714285714286
